Antenna 1Antenna2,,u,v,w,Cos,Sin
1,0,-9.673606,-2.245755,-25.918043,-3.585633,-5.350139
2,0,-1.895753,-13.341658,-4.656473,1.684217,9.527432
2,1,7.777853,-11.095902,21.26157,1.917094,-6.619909
3,0,-10.724072,0.487487,-12.062021,0.237751,-7.487314
3,1,-1.050466,2.733243,13.856022,14.983918,13.437336
3,2,-8.828319,13.829145,-7.405547,-8.664968,14.713734
4,0,13.547589,-0.016753,-6.582051,-0.739081,1.246801
4,1,23.221195,2.229002,19.335991,5.404482,7.605242
4,2,15.443341,13.324905,-1.925578,-12.622807,17.70714
4,3,24.27166,-0.50424,5.47997,7.323193,4.849763
5,0,10.204206,2.063753,-7.287309,19.215292,3.829367
5,1,19.877811,4.309508,18.630733,-10.706432,7.946761
5,2,12.099957,15.405411,-2.630835,0.099182,11.657859
5,3,20.928276,1.576265,4.774713,11.369741,3.110839
5,4,-3.343384,2.080505,-0.705257,11.030233,1.160691
6,0,10.449704,22.492279,11.281542,-2.968927,2.988488
6,1,20.12331,24.738033,37.199585,-3.474518,-10.813141
6,2,12.345456,35.833935,15.938016,7.620808,-10.299818
6,3,21.173775,22.004791,23.343563,2.168172,19.198503
6,4,-3.097885,22.509031,17.863594,-5.53409,3.471605
6,5,0.245499,20.428526,18.568851,-0.273755,0.094335
7,0,-13.988008,-20.07394,3.725757,14.628967,5.196048
7,1,-4.314403,-17.828186,29.643799,-9.712788,-13.995792
7,2,-12.092257,-6.732284,8.382231,11.480171,-5.252898
7,3,-3.263937,-20.561428,15.787778,9.799734,-3.612535
7,4,-27.535599,-20.057188,10.307808,-3.178599,-14.977482
7,5,-24.192215,-22.137693,11.013065,8.439701,1.94538
7,6,-24.437714,-42.566219,-7.555785,8.186012,-6.306397
8,0,-9.582831,3.832803,11.816555,0.997932,14.366826
8,1,0.090774,6.078558,37.734596,9.3528,6.487219
8,2,-7.687079,17.174461,16.473028,-14.598526,2.353106
8,3,1.14124,3.345315,23.878576,1.190309,-2.101948
8,4,-23.130421,3.849555,18.398607,8.635205,2.082148
8,5,-19.787037,1.76905,19.103865,11.361055,-13.800835
8,6,-20.032536,-18.659475,0.535013,8.743186,-0.375439
8,7,4.405177,23.906744,8.090798,-6.079093,3.448887
9,0,-16.763252,-5.643617,-5.009245,5.561161,-5.993574
9,1,-7.089647,-3.397861,20.908798,6.912378,14.554275
9,2,-14.8675,7.698041,-0.352772,-14.521149,10.05718
9,3,-6.039181,-6.131104,7.052776,13.948237,12.552663
9,4,-30.310841,-5.626863,1.572806,-1.459405,-18.415661
9,5,-26.967457,-7.707369,2.278064,7.506773,10.855359
9,6,-27.212955,-28.135895,-16.290787,-8.162687,1.311364
9,7,-2.775244,14.430325,-8.735003,11.262781,0.37455
9,8,-7.180421,-9.476419,-16.8258,-9.868116,6.959956
10,0,1.707716,-13.074792,-8.004004,11.485617,10.644882
10,1,11.381322,-10.829037,17.91404,11.261881,7.271796
10,2,3.603469,0.266866,-3.347531,1.51743,6.144397
10,3,12.431787,-13.562279,4.058017,7.199286,4.316209
10,4,-11.839872,-13.058039,-1.421953,6.89755,9.462384
10,5,-8.496489,-15.138544,-0.716696,2.361163,1.755898
10,6,-8.741987,-35.56707,-19.285545,12.2461,-3.009147
10,7,15.695724,6.999149,-11.729761,14.392097,12.656002
10,8,11.290548,-16.907595,-19.82056,9.006666,2.764327
10,9,18.470968,-7.431175,-2.994759,-9.704559,5.361486
11,0,-7.602658,-6.692515,12.012836,6.951038,1.442847
11,1,2.070948,-4.44676,37.930878,9.490217,-9.355165
11,2,-5.706905,6.649143,16.66931,6.428465,4.413345
11,3,3.121413,-7.180002,24.074858,13.262911,13.103877
11,4,-21.150248,-6.675762,18.594889,-3.206144,-6.831306
11,5,-17.806864,-8.756268,19.300146,4.380991,17.014984
11,6,-18.052362,-29.184793,0.731295,-10.490526,-9.298762
11,7,6.385351,13.381426,8.28708,2.15133,1.226402
11,8,1.980174,-10.525318,0.196281,2.427423,1.452521
11,9,9.160595,-1.048898,17.022081,-0.199893,-19.087696
11,10,-9.310374,6.382277,20.016842,1.123308,7.978934
12,0,-5.080826,17.543358,-5.375412,16.636814,-10.959821
12,1,4.59278,19.789114,20.542631,7.683623,-5.867212
12,2,-3.185073,30.885017,-0.718939,-2.601928,-8.115697
12,3,5.643246,17.055872,6.686609,-5.880223,0.630762
12,4,-18.628414,17.560112,1.206639,4.810348,14.090187
12,5,-15.285031,15.479607,1.911896,11.058006,0.259189
12,6,-15.53053,-4.948919,-16.656954,-17.680529,2.99914
12,7,8.907183,37.617302,-9.10117,0.255644,2.67941
12,8,4.502006,13.710556,-17.191967,0.26227,-1.830553
12,9,11.682426,23.186975,-0.366167,16.032862,11.877586
12,10,-6.788542,30.618151,2.628592,8.887826,4.413158
12,11,2.521832,24.235874,-17.388248,7.021219,6.307471
13,0,7.33434,5.663691,-13.645868,2.078572,1.141529
13,1,17.007946,7.909446,12.272175,1.404365,12.789818
13,2,9.230092,19.005348,-8.989394,-2.332333,19.709507
13,3,18.058411,5.176203,-1.583847,2.67242,12.64691
13,4,-6.213249,5.680443,-7.063817,5.378376,-4.757281
13,5,-2.869865,3.599938,-6.35856,4.485015,-3.601529
13,6,-3.115364,-16.828587,-24.92741,-17.419044,-11.778164
13,7,21.32235,25.737633,-17.371624,-4.007505,9.93425
13,8,16.917171,1.830888,-25.462423,17.34042,11.814569
13,9,24.097591,11.307307,-8.636622,-4.360016,4.284641
13,10,5.626624,18.738483,-5.641864,4.132329,8.874344
13,11,14.936998,12.356205,-25.658705,4.360461,5.971621
13,12,12.415166,-11.879668,-8.270455,13.462532,-1.973917
14,0,-14.409492,12.726207,2.301875,-0.26244,10.89999
14,1,-4.735886,14.971962,28.219917,7.769841,9.382476
14,2,-12.51374,26.067863,6.958348,-1.829091,2.270115
14,3,-3.685421,12.23872,14.363895,7.804753,-4.956969
14,4,-27.957081,12.74296,8.883926,16.179703,13.73812
14,5,-24.613697,10.662455,9.589184,5.579297,4.793135
14,6,-24.859196,-9.766071,-8.979668,14.749893,-5.248213
14,7,-0.421483,32.800148,-1.423882,4.823417,13.533215
14,8,-4.82666,8.893404,-9.514681,-3.245709,6.947987
14,9,2.353761,18.369823,7.31112,0.680101,-2.603906
14,10,-16.117208,25.800999,10.30588,34.773624,2.406393
14,11,-6.806834,19.418722,-9.710962,1.234439,2.285078
14,12,-9.328666,-4.817152,7.677287,-3.28405,-0.331291
